Number,Id,Place,Price Range,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
Imperial Tea Court,1,"cafe, restaurant, food, point_of_interest, store, establishment",1 Ferry Plaza 94111,94111,San Francisco,California,United States
Blue Bottle Coffee,2,"cafe, store, food, point_of_interest, establishment",315 Linden Street 94102,94102,San Francisco,California,United States
Sweet Maple,2,"cafe, restaurant, food, point_of_interest, establishment",2101 Sutter Street 94115,94115,San Francisco,California,United States
The Mill,2,"cafe, bakery, store, food, point_of_interest, establishment",736 Divisadero Street 94117,94117,San Francisco,California,United States
Warming Hut Park Store,1,"cafe, store, food, point_of_interest, establishment",983 Marine Drive 94129,94129,San Francisco,California,United States
Barnes & Noble,2,"book_store, cafe, point_of_interest, food, store, establishment",6050 El Cerrito Plaza 94530,94530,El Cerrito,California,United States
Rudy's Can't Fail Cafe,2,"cafe, restaurant, food, point_of_interest, establishment",4081 Hollis Street 94608,94608,Emeryville,California,United States
Poggio Trattoria,3,"bar, cafe, restaurant, food, store, point_of_interest, establishment",777 Bridgeway 94965,94965,Sausalito,California,United States
La Note,2,"cafe, restaurant, point_of_interest, food, establishment",2377 Shattuck Avenue 94704,94704,Berkeley,California,United States
Mason O'Farrell Garage,,"florist, cafe, car_rental, parking, jewelry_store, restaurant, point_of_interest, food, store, establishment",325 Mason Street 94102,94102,San Francisco,California,United States
"La Boulangerie de San Francisco, Noe Valley",1,"bakery, cafe, restaurant, food, point_of_interest, store, establishment",3898 24th Street 94114,94114,San Francisco,California,United States
Balboa Cafe,2,"bar, cafe, restaurant, food, point_of_interest, establishment",3199 Fillmore Street 94123,94123,San Francisco,California,United States
Lake Chabot Golf Course,,"bar, cafe, health, food, store, point_of_interest, establishment",11450 Golf Links Road 94605,94605,Oakland,California,United States
Philz Coffee,2,"cafe, point_of_interest, food, store, establishment",201 Berry Street 94158,94158,San Francisco,California,United States
Cafe Leila,2,"cafe, park, restaurant, food, point_of_interest, establishment",1724 San Pablo Avenue 94702,94702,Berkeley,California,United States
Dynamo Donut & Coffee,2,"cafe, bakery, store, food, point_of_interest, establishment",2760 24th Street 94110,94110,San Francisco,California,United States
Perry's on Union,3,"cafe, bar, restaurant, food, point_of_interest, establishment",1944 Union Street 94123,94123,San Francisco,California,United States
Starbucks,2,"cafe, store, restaurant, food, point_of_interest, establishment",462 Powell Street 94102,94102,San Francisco,California,United States
NOOK,2,"cafe, point_of_interest, food, establishment",1500 Hyde Street 94109,94109,San Francisco,California,United States
Coupa Cafe - Ramona,2,"cafe, store, restaurant, food, point_of_interest, establishment",538 Ramona Street 94301,94301,Palo Alto,California,United States
Union Street Coffee Roastery,2,"cafe, store, restaurant, food, point_of_interest, establishment",2191 Union Street 94123,94123,San Francisco,California,United States
Jane on Fillmore,2,"cafe, restaurant, food, store, point_of_interest, establishment",2123 Fillmore Street 94115,94115,San Francisco,California,United States
The Grove - Yerba Buena,2,"cafe, meal_takeaway, store, restaurant, point_of_interest, food, establishment",690 Mission Street 94105,94105,San Francisco,California,United States
Philz Coffee,2,"cafe, store, food, point_of_interest, establishment",549 Castro Street 94114,94114,San Francisco,California,United States
Lovejoy's Tea Room,2,"cafe, restaurant, food, point_of_interest, establishment",1351 Church Street 94114,94114,San Francisco,California,United States
Krispy Kreme,1,"cafe, bakery, restaurant, point_of_interest, food, store, establishment",1575 Sullivan Avenue 94015,94015,Daly City,California,United States
Philz Coffee,2,"cafe, store, point_of_interest, food, establishment",399 Golden Gate Avenue 94102,94102,San Francisco,California,United States
Starbucks,2,"cafe, restaurant, point_of_interest, food, store, establishment",1390 Market Street 94102,94102,San Francisco,California,United States
Peet's Coffee,1,"cafe, restaurant, food, store, point_of_interest, establishment",5959 Shellmound Street 94608,94608,Emeryville,California,United States
Purple Kow,1,"cafe, store, food, point_of_interest, establishment",3620 Balboa Street 94121,94121,San Francisco,California,United States
Peet's Coffee,1,"cafe, restaurant, point_of_interest, food, store, establishment",5800 Nave Drive 94949,94949,Novato,California,United States
Starbucks,2,"cafe, store, restaurant, food, point_of_interest, establishment",442 Geary Street 94102,94102,San Francisco,California,United States
Krispy Kreme,1,"cafe, bakery, store, restaurant, food, point_of_interest, establishment",32450 Dyer Street 94587,94587,Union City,California,United States
Farley's Coffeehouse,1,"cafe, food, point_of_interest, store, establishment",1315 18th Street 94107,94107,San Francisco,California,United States
Java Beach Cafe,2,"cafe, food, point_of_interest, establishment",1396 La Playa Street 94122,94122,San Francisco,California,United States
La Boulangerie de San Francisco,2,"cafe, bakery, store, restaurant, food, point_of_interest, establishment",500 Hayes Street 94102,94102,San Francisco,California,United States
Rick & Ann's Restaurant,2,"cafe, restaurant, food, point_of_interest, establishment",2922 Domingo Avenue 94705,94705,Berkeley,California,United States
