Number,Id,Place,Price Range,Category,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
61,ChIJ63EwnEzpj4ARRNDqGVBC-Ss,Hacienda Crossings Shopping Center,,shopping_mall,"shopping_mall, point_of_interest, establishment","4980 Dublin Blvd, Dublin, CA 94568, USA 94568",94568,Dublin,California,United States,37.704458,-121.8852004
62,ChIJXX_PURkzjoARRhX4euQML28,Plant Shopping Center,,shopping_mall,"shopping_mall, point_of_interest, establishment","1 Curtner Ave, San Jose, CA 95125, USA 95125",95125,San Jose,California,United States,37.3029231,-121.8652547
63,ChIJRyFT9pW1j4ARA8EnCULNTDc,Cupertino Village,,shopping_mall,"shopping_mall, point_of_interest, establishment","10869 N Wolfe Rd, Cupertino, CA 95014, USA 95014",95014,Cupertino,California,United States,37.3357263,-122.0154226
64,ChIJZSuEjxgyjoARiemcZ_3I45c,Snell & Branham Plaza,,shopping_mall,"shopping_mall, grocery_or_supermarket, store, restaurant, food, point_of_interest, establishment","179 Branham Ln, San Jose, CA 95136, USA 95136",95136,San Jose,California,United States,37.26678250000001,-121.8331202
65,ChIJ6R9a43XJj4ARkONslhsnIfI,Rivermark Village,,shopping_mall,"shopping_mall, point_of_interest, establishment","3905-3986 Rivermark Plaza, Santa Clara, CA 95054, USA 95054",95054,Santa Clara,California,United States,37.39436320000001,-121.9455503
66,ChIJ87BQcd0zjoARDjBJyD5bQIc,Almaden Plaza,,shopping_mall,"shopping_mall, point_of_interest, establishment","5353 Almaden Expy, San Jose, CA 95118, USA 95118",95118,San Jose,California,United States,37.2512923,-121.877471467
67,ChIJESOuQmvAkIgRlksMcfTTIF0,FYE,2,book_store,"book_store, clothing_store, electronics_store, store, point_of_interest, establishment","5100 N 9th Ave A103, Pensacola, FL 32504, USA 32504",32504,Pensacola,Florida,United States,30.474741,-87.20652919999999
68,ChIJ89YTBwzAkIgRMGNgZPvmFx8,Barnes & Noble,2,book_store,"book_store, cafe, food, store, point_of_interest, establishment","1200 Airport Blvd, Pensacola, FL 32504, USA 32504",32504,Pensacola,Florida,United States,30.4807745,-87.2171113
69,ChIJ0zEZt_m_kIgR6zmmuMLTTNE,Books-A-Million,1,book_store,"book_store, store, point_of_interest, establishment","6235 N Davis Hwy, Pensacola, FL 32504, USA 32504",32504,Pensacola,Florida,United States,30.4883582,-87.22515949999999
70,ChIJr0Koaz6VkIgRKiJ1eG-G4BE,Bible Baptist Bookstore,,book_store,"book_store, store, point_of_interest, establishment","1130 Jo Jo Rd, Pensacola, FL 32514, USA 32514",32514,Pensacola,Florida,United States,30.5258354,-87.2405327
71,ChIJ5zmG5sC-kIgRlXUnHZIkGzI,Follett's PSC Warrington Bookstore,,book_store,"book_store, clothing_store, store, point_of_interest, establishment","Building, 3600 US-98, Pensacola, FL 32507, USA 32507",32507,Pensacola,Florida,United States,30.3966747,-87.2841739
72,ChIJoe2Nbr_AkIgRXHoPo2G9940,Pensacola Pop Comics,,book_store,"book_store, point_of_interest, store, establishment","909 N 12th Ave, Pensacola, FL 32501, USA 32501",32501,Pensacola,Florida,United States,30.4250762,-87.2032422
73,ChIJZ-BEM2zAkIgRgHNqXiq6lgQ,Ben's Card World - formerly Price Busters Games,,book_store,"book_store, store, point_of_interest, establishment","4771 Bayou Blvd #7, Pensacola, FL 32503, USA 32503",32503,Pensacola,Florida,United States,30.47063499999999,-87.20941309999999
74,ChIJg00DBs2-kIgRVBfYWVpJ-dg,Charlie House Screenplays,,book_store,"book_store, point_of_interest, store, establishment","190 N Old Corry Field Rd, Pensacola, FL 32507, USA 32507",32507,Pensacola,Florida,United States,30.4093974,-87.2733652
75,ChIJxanEDL6_kIgRb0eCkDrzHY4,Christian Bookstore,,book_store,"book_store, store, point_of_interest, establishment","10 Brent Ln, Pensacola, FL 32503, USA 32503",32503,Pensacola,Florida,United States,30.4691727,-87.2411523
76,ChIJOQA6slq5kIgRcx1SzbGz0vA,Follett Higher Education Group,,book_store,"book_store, store, point_of_interest, establishment","5555 US-98, Pensacola, FL 32507, USA 32507",32507,Pensacola,Florida,United States,30.3967991,-87.28645739999999
