Place_id,Place,Price Range,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
ChIJNfKP5xdawokRyCFSWap_ogE,"Gild Hall, A Thompson Hotel, by Hyatt",,"lodging, point_of_interest, establishment","15 Gold St, New York, NY 10038, USA",10038,New York,New York,United States,40.7079177,-74.0072143
ChIJGcnS2CZawokR2T8vG-n1_5k,Hotel Mulberry,,"lodging, point_of_interest, establishment","52 Mulberry St, New York, NY 10013, USA",10013,New York,New York,United States,40.7153105,-73.9994984
ChIJ-ziaVBZawokRj7B7C4qAWPY,Radisson Hotel New York Wall Street,,"lodging, point_of_interest, establishment","52 William St, New York, NY 10005, USA",10005,New York,New York,United States,40.7067619,-74.0089447
ChIJteYXl4pZwokRyx61ICQfyH8,The Roxy Hotel New York,,"lodging, point_of_interest, establishment","2 6th Ave, New York, NY 10013, USA",10013,New York,New York,United States,40.7191799,-74.00491629999999
ChIJOwg_06VPwokRYv534QaPC8g,New York,,"locality, political","New York, NY, USA",,New York,New York,United States,40.7127753,-74.0059728
ChIJ7UBKbh9awokRsLNXAfxLoHs,Sonder Duane Street,,"lodging, point_of_interest, establishment","130 Duane St, New York, NY 10013, USA",10013,New York,New York,United States,40.7159471,-74.0073669
ChIJ_1qwJx9awokRl0bFrNhhRBs,Smyth Tribeca,3,"lodging, point_of_interest, establishment","85 W Broadway, New York, NY 10007, USA",10007,New York,New York,United States,40.715222,-74.009045
ChIJYSjtGB9awokRvtwfGw4UEpc,The Frederick Hotel,,"lodging, bar, restaurant, point_of_interest, food, establishment","95 W Broadway, New York, NY 10007, USA",10007,New York,New York,United States,40.7156143,-74.00896709999999
ChIJh-L3uxlawokRDwLmkKwLIvY,Millennium Downtown New York,,"lodging, point_of_interest, establishment","55 Church St, New York, NY 10007, USA",10007,New York,New York,United States,40.71111399999999,-74.010333
ChIJPTJohhdawokR5-M2cwZ2WDo,"Holiday Inn New York City - Wall Street, an IHG Hotel",,"lodging, point_of_interest, establishment","51 Nassau St, New York, NY 10038, USA",10038,New York,New York,United States,40.70897670000001,-74.0091231
ChIJNfKP5xdawokRyCFSWap_ogE,"Gild Hall, A Thompson Hotel, by Hyatt",,"lodging, point_of_interest, establishment","15 Gold St, New York, NY 10038, USA",10038,New York,New York,United States,40.7079177,-74.0072143
ChIJGcnS2CZawokR2T8vG-n1_5k,Hotel Mulberry,,"lodging, point_of_interest, establishment","52 Mulberry St, New York, NY 10013, USA",10013,New York,New York,United States,40.7153105,-73.9994984
ChIJ-ziaVBZawokRj7B7C4qAWPY,Radisson Hotel New York Wall Street,,"lodging, point_of_interest, establishment","52 William St, New York, NY 10005, USA",10005,New York,New York,United States,40.7067619,-74.0089447
ChIJteYXl4pZwokRyx61ICQfyH8,The Roxy Hotel New York,,"lodging, point_of_interest, establishment","2 6th Ave, New York, NY 10013, USA",10013,New York,New York,United States,40.7191799,-74.00491629999999
ChIJS5dFe_cZTIYRj2dH9qSb7Lk,Dallas,,"locality, political","Dallas, TX, USA",,Dallas,Texas,United States,32.7766642,-96.79698789999999
ChIJd8ztkRmZToYRoAJhaj3xwfE,Aloft Dallas Downtown,,"lodging, point_of_interest, establishment","1033 Young St, Dallas, TX 75202, USA",75202,Dallas,Texas,United States,32.7771833,-96.801087
ChIJEceT6RiZToYRamCabf48B6k,Magnolia Dallas Downtown,,"lodging, point_of_interest, establishment","1401 Commerce St, Dallas, TX 75201, USA",75201,Dallas,Texas,United States,32.7801591,-96.7991098
ChIJSf4EURiZToYR0KhpmIHWXpQ,The Adolphus,3,"lodging, point_of_interest, establishment","1321 Commerce St, Dallas, TX 75202, USA",75202,Dallas,Texas,United States,32.7798003,-96.80011669999999
ChIJn8aFxxiZToYR1tuZ71sZKeI,The Joule,,"lodging, point_of_interest, establishment","1530 Main St, Dallas, TX 75201, USA",75201,Dallas,Texas,United States,32.7805917,-96.79847219999999
ChIJpRbheR-ZToYRjrfQZ37KI2o,"Hotel Indigo Dallas Downtown, an IHG Hotel",2,"lodging, point_of_interest, establishment","1933 Main St, Dallas, TX 75201, USA",75201,Dallas,Texas,United States,32.7819004,-96.79441159999999
ChIJmczW8xeZToYRLT1AzM0hrrg,"Crowne Plaza Dallas Downtown, an IHG Hotel",,"lodging, point_of_interest, establishment","1015 Elm St, Dallas, TX 75202, USA",75202,Dallas,Texas,United States,32.7808613,-96.8035776
ChIJzZ8OFSOZToYR8E34w1-AprA,Fairmont Dallas,3,"lodging, restaurant, food, point_of_interest, establishment","1717 N Akard St, Dallas, TX 75201, USA",75201,Dallas,Texas,United States,32.7857161,-96.8017967
ChIJtyUklj2ZToYR9vHmTZJmVC0,SpringHill Suites by Marriott Dallas Downtown/West End,,"lodging, point_of_interest, establishment","1907 N Lamar St, Dallas, TX 75202, USA",75202,Dallas,Texas,United States,32.7828731,-96.8065663
ChIJ40wS9hOZToYRjJyhgvj-jZ8,Hyatt Regency Dallas,,"lodging, point_of_interest, establishment","300 Reunion Blvd, Dallas, TX 75207, USA",75207,Dallas,Texas,United States,32.7756262,-96.8095263
ChIJL3JhTpb4jYARIYHtuhG7EaU,Salinas,,"locality, political","Salinas, CA, USA",,Salinas,California,United States,36.6777372,-121.6555013
ChIJk1lu1vfkjYAR2MS0Snrrx3E,Embassy Suites by Hilton Monterey Bay Seaside,,"lodging, point_of_interest, establishment","1441 Canyon Del Rey Blvd, Seaside, CA 93955, USA",93955,Seaside,California,United States,36.606795,-121.8563886
ChIJn26RUljkjYARbD5EQWo_NnI,"Holiday Inn Express at Monterey Bay, an IHG Hotel",,"lodging, point_of_interest, establishment","1400 Del Monte Blvd, Seaside, CA 93955, USA",93955,Seaside,California,United States,36.6060894,-121.8570709
